udid,observationTime,timeDiff,eclipseType,maxEclipse,timeSubmit,totalBegins,obscuration,flying,hear,perchedAlone,perchedOthers,sing,sitting,swimming,walking,other,eating,obscuration_bins,timeDiff_bins
5616D5C4-57AB-401D-B705-6B1693EFDEA3,before,0 days 01:12:23.480965,total,2024-04-08 15:28:00,2024-04-08 14:15:36.519035,2024-04-08 15:27:00,1.0,False,False,False,False,True,False,False,False,False,True,1,"(0 days 01:00:00, 0 days 01:30:00]"
56319B78-B924-47B9-BBB1-DE656D97D026,after,0 days 00:22:04.501340,total,2024-04-08 15:07:00,2024-04-08 15:29:04.501340,2024-04-08 15:05:00,1.0,True,True,False,False,True,False,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
56335702-AC02-491E-8358-EFD676C55EFA,before,0 days 00:42:59.456545500,total,2024-04-08 15:06:00,2024-04-08 15:00:04.556742,2024-04-08 15:04:00,1.0,False,False,False,False,False,False,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
56335702-AC02-491E-8358-EFD676C55EFA,before,0 days 01:20:22.588448,total,2024-04-08 15:06:00,2024-04-08 13:45:37.411552,2024-04-08 15:04:00,1.0,True,True,False,False,False,False,False,False,False,False,1,"(0 days 01:00:00, 0 days 01:30:00]"
56335702-AC02-491E-8358-EFD676C55EFA,during,0 days 00:01:14.752710,total,2024-04-08 15:06:00,2024-04-08 15:07:14.752710,2024-04-08 15:04:00,1.0,False,False,False,False,False,True,False,False,False,False,1,"(0 days 00:00:00, 0 days 00:05:00]"
56335702-AC02-491E-8358-EFD676C55EFA,after,0 days 00:39:29.735046,total,2024-04-08 15:06:00,2024-04-08 15:45:29.735046,2024-04-08 15:04:00,1.0,False,True,False,False,True,False,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
564726A1-17C5-49C2-BF0C-BFAC2B4C0B04,during,0 days 00:09:13.906357,partial,2024-04-08 15:20:00,2024-04-08 15:10:46.093643,2024-04-08 14:03:00,0.898,False,False,False,False,False,False,False,True,False,False,0.8-0.9,"(0 days 00:05:00, 0 days 00:15:00]"
564726A1-17C5-49C2-BF0C-BFAC2B4C0B04,during,0 days 00:31:01.004325,partial,2024-04-08 15:20:00,2024-04-08 14:48:58.995675,2024-04-08 14:03:00,0.898,True,False,False,False,False,False,False,False,False,False,0.8-0.9,"(0 days 00:15:00, 0 days 01:00:00]"
564726A1-17C5-49C2-BF0C-BFAC2B4C0B04,during,0 days 00:06:13.135337,partial,2024-04-08 15:20:00,2024-04-08 15:26:13.135337,2024-04-08 14:03:00,0.898,True,False,False,False,True,False,False,False,False,False,0.8-0.9,"(0 days 00:05:00, 0 days 00:15:00]"
564726A1-17C5-49C2-BF0C-BFAC2B4C0B04,during,0 days 00:10:02.888190,partial,2024-04-08 15:20:00,2024-04-08 15:09:57.111810,2024-04-08 14:03:00,0.898,False,False,False,False,False,True,True,False,False,False,0.8-0.9,"(0 days 00:05:00, 0 days 00:15:00]"
566B1498-2EA4-4EBE-A4B1-36F0973F0962,before,0 days 00:26:19.133354,total,2024-04-08 14:04:00,2024-04-08 13:38:30.726194,2024-04-08 14:03:00,1.0,False,True,False,False,True,False,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
566B1498-2EA4-4EBE-A4B1-36F0973F0962,after,0 days 00:03:11.804256,total,2024-04-08 14:04:00,2024-04-08 14:07:11.804256,2024-04-08 14:03:00,1.0,True,False,False,False,False,False,True,False,False,False,1,"(0 days 00:00:00, 0 days 00:05:00]"
5683379089ddadfe,before,0 days 01:03:10.970797,total,2024-04-08 15:06:00,2024-04-08 14:02:49.029203,2024-04-08 15:04:00,1.0,False,True,False,False,False,False,False,False,False,False,1,"(0 days 01:00:00, 0 days 01:30:00]"
5683379089ddadfe,after,0 days 00:08:57.078033,total,2024-04-08 15:06:00,2024-04-08 15:14:57.078033,2024-04-08 15:04:00,1.0,False,True,False,False,False,False,False,False,False,False,1,"(0 days 00:05:00, 0 days 00:15:00]"
569E05C9-20D8-4B8C-ABAB-60EA7965FFFE,after,0 days 00:14:42.812100,total,2024-04-08 14:02:00,2024-04-08 14:16:42.812100,2024-04-08 14:01:00,1.0,False,False,False,True,False,False,False,False,False,False,1,"(0 days 00:05:00, 0 days 00:15:00]"
569E05C9-20D8-4B8C-ABAB-60EA7965FFFE,after,0 days 00:14:31.763239,total,2024-04-08 14:02:00,2024-04-08 14:16:31.763239,2024-04-08 14:01:00,1.0,False,False,False,False,False,False,False,True,False,False,1,"(0 days 00:05:00, 0 days 00:15:00]"
56DA42C2-5182-46FC-8D75-4498DA2D5BC9,during,0 days 00:40:16.604783,partial,2024-04-08 15:25:00,2024-04-08 14:44:43.395217,2024-04-08 14:10:00,0.9,True,False,True,False,True,False,False,False,False,True,0.8-0.9,"(0 days 00:15:00, 0 days 01:00:00]"
56DA42C2-5182-46FC-8D75-4498DA2D5BC9,during,0 days 00:02:53.928945,partial,2024-04-08 15:25:00,2024-04-08 15:27:53.928945,2024-04-08 14:10:00,0.9,False,False,False,True,False,False,False,False,False,False,0.8-0.9,"(0 days 00:00:00, 0 days 00:05:00]"
56e79f09f1de95ce,after,0 days 00:04:55.784777,total,2024-04-08 15:26:00,2024-04-08 15:30:55.784777,2024-04-08 15:25:00,1.0,False,True,False,True,False,False,False,False,False,False,1,"(0 days 00:00:00, 0 days 00:05:00]"
56e79f09f1de95ce,after,0 days 00:06:05.836513,total,2024-04-08 15:26:00,2024-04-08 15:32:05.836513,2024-04-08 15:25:00,1.0,False,False,False,True,False,False,False,False,False,False,1,"(0 days 00:05:00, 0 days 00:15:00]"
5765A2CE-37F1-4D8D-9647-1B150A2140AB,before,0 days 00:27:58.021146500,total,2024-04-08 15:08:00,2024-04-08 14:40:48.326463,2024-04-08 15:06:00,1.0,False,False,True,False,False,False,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
5765A2CE-37F1-4D8D-9647-1B150A2140AB,before,0 days 00:15:44.241304333,total,2024-04-08 15:08:00,2024-04-08 14:45:11.285595,2024-04-08 15:06:00,1.0,False,False,False,False,True,False,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
5765A2CE-37F1-4D8D-9647-1B150A2140AB,before,0 days 00:26:21.197067,total,2024-04-08 15:08:00,2024-04-08 14:41:38.802933,2024-04-08 15:06:00,1.0,False,False,False,False,False,False,False,False,False,True,1,"(0 days 00:15:00, 0 days 01:00:00]"
577D413C-A592-4F35-BFDC-7A4090B96FBC,before,0 days 00:07:34.324587500,total,2024-04-08 15:06:00,2024-04-08 14:53:15.952011,2024-04-08 15:04:00,1.0,True,False,True,False,True,False,False,False,False,False,1,"(0 days 00:05:00, 0 days 00:15:00]"
577D413C-A592-4F35-BFDC-7A4090B96FBC,before,0 days 00:33:10.039022,total,2024-04-08 15:06:00,2024-04-08 14:22:45.238113,2024-04-08 15:04:00,1.0,False,False,False,False,False,False,False,False,False,True,1,"(0 days 00:15:00, 0 days 01:00:00]"
577D413C-A592-4F35-BFDC-7A4090B96FBC,before,0 days 00:32:53.113369333,total,2024-04-08 15:06:00,2024-04-08 14:54:50.749552,2024-04-08 15:04:00,1.0,True,False,False,False,False,False,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
577D413C-A592-4F35-BFDC-7A4090B96FBC,before,0 days 00:10:41.506144,total,2024-04-08 15:06:00,2024-04-08 14:55:18.493856,2024-04-08 15:04:00,1.0,False,False,False,False,False,False,False,True,False,True,1,"(0 days 00:05:00, 0 days 00:15:00]"
577D413C-A592-4F35-BFDC-7A4090B96FBC,before,0 days 00:13:33.903755,total,2024-04-08 15:06:00,2024-04-08 14:50:13.981181,2024-04-08 15:04:00,1.0,True,False,False,False,True,False,False,False,False,False,1,"(0 days 00:05:00, 0 days 00:15:00]"
577D413C-A592-4F35-BFDC-7A4090B96FBC,before,0 days 00:24:13.444573,total,2024-04-08 15:06:00,2024-04-08 14:25:38.893808,2024-04-08 15:04:00,1.0,False,False,False,False,False,False,False,False,True,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
577D413C-A592-4F35-BFDC-7A4090B96FBC,before,0 days 00:16:06.982414,total,2024-04-08 15:06:00,2024-04-08 14:49:53.017586,2024-04-08 15:04:00,1.0,False,False,False,True,False,False,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
577D413C-A592-4F35-BFDC-7A4090B96FBC,before,0 days 00:36:53.512850200,total,2024-04-08 15:06:00,2024-04-08 14:24:01.335620,2024-04-08 15:04:00,1.0,False,False,False,False,True,False,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
